debs_symbol,yahoo_ticker,exchange,status
A0KEXC.ETR,,ETR,isin_not_found
A0KFKB.ETR,,ETR,isin_not_found
A0KFRJ.ETR,,ETR,isin_not_found
A0KFUJ.ETR,,ETR,isin_not_found
A0L1NN.ETR,,ETR,isin_not_found
A0LBCR.ETR,,ETR,isin_not_found
A0LCTL.ETR,,ETR,isin_not_found
A0LD2U.ETR,,ETR,isin_not_found
A0LGD8.ETR,,ETR,isin_not_found
A0M1W6.ETR,,ETR,isin_not_found
A0M530.ETR,,ETR,isin_not_found
A0M9BA.ETR,,ETR,isin_not_found
A0MEK9.ETR,,ETR,isin_not_found
A0MEKV.ETR,,ETR,isin_not_found
A0MEKW.ETR,,ETR,isin_not_found
A0MEKX.ETR,,ETR,isin_not_found
A0MEKY.ETR,,ETR,isin_not_found
A0MEKZ.ETR,,ETR,isin_not_found
A0MELK.ETR,,ETR,isin_not_found
A0MEP0.ETR,,ETR,isin_not_found
A0MEP1.ETR,,ETR,isin_not_found
A0MEP2.ETR,,ETR,isin_not_found
A0MEP3.ETR,,ETR,isin_not_found
A0MEP4.ETR,,ETR,isin_not_found
A0MEP5.ETR,,ETR,isin_not_found
A0MEP6.ETR,,ETR,isin_not_found
A0MEP8.ETR,,ETR,isin_not_found
A0MEP9.ETR,,ETR,isin_not_found
A0MEPL.ETR,,ETR,isin_not_found
A0MEPM.ETR,,ETR,isin_not_found
A0MEPN.ETR,,ETR,isin_not_found
A0MEPP.ETR,,ETR,isin_not_found
A0MEPQ.ETR,,ETR,isin_not_found
A0MEPR.ETR,,ETR,isin_not_found
A0MEPS.ETR,,ETR,isin_not_found
A0MEPT.ETR,,ETR,isin_not_found
A0MEPU.ETR,,ETR,isin_not_found
A0MEPV.ETR,,ETR,isin_not_found
A0MEPW.ETR,,ETR,isin_not_found
A0MEPX.ETR,,ETR,isin_not_found
A0MEPY.ETR,,ETR,isin_not_found
A0MEPZ.ETR,,ETR,isin_not_found
A0MEQA.ETR,,ETR,isin_not_found
A0MEQB.ETR,,ETR,isin_not_found
A0MEQC.ETR,,ETR,isin_not_found
A0MEQE.ETR,,ETR,isin_not_found
A0MEQP.ETR,,ETR,isin_not_found
A0MEQQ.ETR,,ETR,isin_not_found
A0MEQR.ETR,,ETR,isin_not_found
A0MEQS.ETR,,ETR,isin_not_found
A0MEQV.ETR,,ETR,isin_not_found
A0MEQW.ETR,,ETR,isin_not_found
A0MEX0.ETR,,ETR,isin_not_found
A0MEX1.ETR,,ETR,isin_not_found
A0MEX2.ETR,,ETR,isin_not_found
A0MEX3.ETR,,ETR,isin_not_found
A0MEX4.ETR,,ETR,isin_not_found
A0MEX5.ETR,,ETR,isin_not_found
A0MEX6.ETR,,ETR,isin_not_found
A0MEX7.ETR,,ETR,isin_not_found
A0MEX8.ETR,,ETR,isin_not_found
A0MEX9.ETR,,ETR,isin_not_found
A0MEXM.ETR,,ETR,isin_not_found
A0MEXN.ETR,,ETR,isin_not_found
A0MEXP.ETR,,ETR,isin_not_found
A0MEXQ.ETR,,ETR,isin_not_found
A0MEXR.ETR,,ETR,isin_not_found
A0MEXS.ETR,,ETR,isin_not_found
A0MEXT.ETR,,ETR,isin_not_found
A0MEXU.ETR,,ETR,isin_not_found
A0MEXV.ETR,,ETR,isin_not_found
A0MEXW.ETR,,ETR,isin_not_found
A0MEXX.ETR,,ETR,isin_not_found
A0MEXY.ETR,,ETR,isin_not_found
A0MEXZ.ETR,,ETR,isin_not_found
A0MEYA.ETR,,ETR,isin_not_found
A0MEYB.ETR,,ETR,isin_not_found
A0MEYD.ETR,,ETR,isin_not_found
A0MEYE.ETR,,ETR,isin_not_found
A0MEYF.ETR,,ETR,isin_not_found
A0MEYG.ETR,,ETR,isin_not_found
A0MEYH.ETR,,ETR,isin_not_found
A0MEYM.ETR,,ETR,isin_not_found
A0MEYN.ETR,,ETR,isin_not_found
A0MEYP.ETR,,ETR,isin_not_found
A0MEYQ.ETR,,ETR,isin_not_found
A0MEYS.ETR,,ETR,isin_not_found
A0MUES.ETR,,ETR,isin_not_found
A0MYC8.ETR,,ETR,isin_not_found
A0NBN0.ETR,,ETR,isin_not_found
A0Q4K4.ETR,,ETR,isin_not_found
A0Q90G.ETR,,ETR,isin_not_found
A0Q90H.ETR,,ETR,isin_not_found
A0Q90J.ETR,,ETR,isin_not_found
A0QY6X.ETR,,ETR,isin_not_found
A0QY70.ETR,,ETR,isin_not_found
A0QY71.ETR,,ETR,isin_not_found
A0QY7B.ETR,,ETR,isin_not_found
A0QY7C.ETR,,ETR,isin_not_found
A0QY7P.ETR,,ETR,isin_not_found
A0QY7R.ETR,,ETR,isin_not_found
A0QY7X.ETR,,ETR,isin_not_found
A0QY7Y.ETR,,ETR,isin_not_found
A0QY7Z.ETR,,ETR,isin_not_found
A0QY9K.ETR,,ETR,isin_not_found
A0S3K0.ETR,,ETR,isin_not_found
A0S3K1.ETR,,ETR,isin_not_found
A0S3K2.ETR,,ETR,isin_not_found
A0S3K3.ETR,,ETR,isin_not_found
A0S3K4.ETR,,ETR,isin_not_found
A0S3K5.ETR,,ETR,isin_not_found
A0S3K6.ETR,,ETR,isin_not_found
A0S3K7.ETR,,ETR,isin_not_found
A0S3K8.ETR,,ETR,isin_not_found
A0S3K9.ETR,,ETR,isin_not_found
A0S3KU.ETR,,ETR,isin_not_found
A0S3KV.ETR,,ETR,isin_not_found
A0S3KW.ETR,,ETR,isin_not_found
A0S3KX.ETR,,ETR,isin_not_found
A0S3KZ.ETR,,ETR,isin_not_found
A0S3LB.ETR,,ETR,isin_not_found
A0S3LE.ETR,,ETR,isin_not_found
A0S3LF.ETR,,ETR,isin_not_found
A0S3LG.ETR,,ETR,isin_not_found
A0S3LK.ETR,,ETR,isin_not_found
A0S3MA.ETR,,ETR,isin_not_found
A0S3MB.ETR,,ETR,isin_not_found
A0S3MC.ETR,,ETR,isin_not_found
A0S3MD.ETR,,ETR,isin_not_found
A0S3ME.ETR,,ETR,isin_not_found
A0S9R3.ETR,,ETR,isin_not_found
A0SYTQ.ETR,,ETR,isin_not_found
A0SYTW.ETR,,ETR,isin_not_found
A0SYTY.ETR,,ETR,isin_not_found
A0TGJ5.ETR,,ETR,isin_not_found
A0V8CD.ETR,,ETR,isin_not_found
A0V8CN.ETR,,ETR,isin_not_found
A0V8CX.ETR,,ETR,isin_not_found
A0V8CY.ETR,,ETR,isin_not_found
A0V8D0.ETR,,ETR,isin_not_found
A0V8DE.ETR,,ETR,isin_not_found
A0V8DF.ETR,,ETR,isin_not_found
A0V8DG.ETR,,ETR,isin_not_found
A0V8DH.ETR,,ETR,isin_not_found
A0V8DK.ETR,,ETR,isin_not_found
A0V8DL.ETR,,ETR,isin_not_found
A0V8DM.ETR,,ETR,isin_not_found
A0V8DN.ETR,,ETR,isin_not_found
A0V8DP.ETR,,ETR,isin_not_found
A0V8DQ.ETR,,ETR,isin_not_found
A0V8DV.ETR,,ETR,isin_not_found
A0V8DW.ETR,,ETR,isin_not_found
A0V8DX.ETR,,ETR,isin_not_found
A0V8DY.ETR,,ETR,isin_not_found
A0V8DZ.ETR,,ETR,isin_not_found
A0V8F1.ETR,,ETR,isin_not_found
A0V8FC.ETR,,ETR,isin_not_found
A0V8FD.ETR,,ETR,isin_not_found
A0V8FE.ETR,,ETR,isin_not_found
A0V8FF.ETR,,ETR,isin_not_found
A0V8FG.ETR,,ETR,isin_not_found
A0V8FH.ETR,,ETR,isin_not_found
A0V8FX.ETR,,ETR,isin_not_found
A0V8FY.ETR,,ETR,isin_not_found
A0V8FZ.ETR,,ETR,isin_not_found
A0V8G2.ETR,,ETR,isin_not_found
A0V8G5.ETR,,ETR,isin_not_found
A0V8G8.ETR,,ETR,isin_not_found
A0V8GC.ETR,,ETR,isin_not_found
A0V8GE.ETR,,ETR,isin_not_found
A0V8GJ.ETR,,ETR,isin_not_found
A0V8GK.ETR,,ETR,isin_not_found
A0V8GL.ETR,,ETR,isin_not_found
A0V8GZ.ETR,,ETR,isin_not_found
A0V8HG.ETR,,ETR,isin_not_found
A0V8J0.ETR,,ETR,isin_not_found
A0V8J1.ETR,,ETR,isin_not_found
A0V8J2.ETR,,ETR,isin_not_found
A0V8J3.ETR,,ETR,isin_not_found
A0V8J4.ETR,,ETR,isin_not_found
A0V8J5.ETR,,ETR,isin_not_found
A0V8J6.ETR,,ETR,isin_not_found
A0V8J7.ETR,,ETR,isin_not_found
A0V8J8.ETR,,ETR,isin_not_found
A0V8J9.ETR,,ETR,isin_not_found
A0V8JG.ETR,,ETR,isin_not_found
A0V8JH.ETR,,ETR,isin_not_found
A0V8JK.ETR,,ETR,isin_not_found
A0V8JL.ETR,,ETR,isin_not_found
A0V8JM.ETR,,ETR,isin_not_found
A0V8JN.ETR,,ETR,isin_not_found
A0V8JP.ETR,,ETR,isin_not_found
A0V8JQ.ETR,,ETR,isin_not_found
A0V8JR.ETR,,ETR,isin_not_found
A0V8JS.ETR,,ETR,isin_not_found
A0V8JT.ETR,,ETR,isin_not_found
A0V8JU.ETR,,ETR,isin_not_found
A0V8JV.ETR,,ETR,isin_not_found
A0V8JW.ETR,,ETR,isin_not_found
A0V8JX.ETR,,ETR,isin_not_found
A0V8JY.ETR,,ETR,isin_not_found
A0V8JZ.ETR,,ETR,isin_not_found
A0V8KA.ETR,,ETR,isin_not_found
A0V8KB.ETR,,ETR,isin_not_found
A0V8KC.ETR,,ETR,isin_not_found
A0V8KD.ETR,,ETR,isin_not_found
A0V8KE.ETR,,ETR,isin_not_found
A0V8KF.ETR,,ETR,isin_not_found
A0V8KG.ETR,,ETR,isin_not_found
A0V8KH.ETR,,ETR,isin_not_found
A0V8KJ.ETR,,ETR,isin_not_found
A0V8KK.ETR,,ETR,isin_not_found
A0V8KL.ETR,,ETR,isin_not_found
A0V8KM.ETR,,ETR,isin_not_found
A0V8KN.ETR,,ETR,isin_not_found
A0V9L9.ETR,,ETR,isin_not_found
A0X9LC.ETR,,ETR,isin_not_found
A0XFWK.ETR,,ETR,isin_not_found
A0Z25L.ETR,,ETR,isin_not_found
A0Z268.ETR,,ETR,isin_not_found
A0Z26C.ETR,,ETR,isin_not_found
A0Z3P0.ETR,,ETR,isin_not_found
A0Z3P1.ETR,,ETR,isin_not_found
A0Z3P2.ETR,,ETR,isin_not_found
A0Z3P3.ETR,,ETR,isin_not_found
A0Z3P4.ETR,,ETR,isin_not_found
A0Z3PZ.ETR,,ETR,isin_not_found
A11133.ETR,,ETR,isin_not_found
A117XM.ETR,,ETR,isin_not_found
A118Z8.ETR,,ETR,isin_not_found
A12HJF.ETR,,ETR,isin_not_found
A12ULL.ETR,,ETR,isin_not_found
A13N90.ETR,,ETR,isin_not_found
A13N92.ETR,,ETR,isin_not_found
A13N94.ETR,,ETR,isin_not_found
A13N9X.ETR,,ETR,isin_not_found
A13N9Y.ETR,,ETR,isin_not_found
A13PA0.ETR,,ETR,isin_not_found
A13PAJ.ETR,,ETR,isin_not_found
A13PAX.ETR,,ETR,isin_not_found
A13PAY.ETR,,ETR,isin_not_found
A13PAZ.ETR,,ETR,isin_not_found
A13PGG.ETR,,ETR,isin_not_found
A13PH4.ETR,,ETR,isin_not_found
A13PH5.ETR,,ETR,isin_not_found
A13PH6.ETR,,ETR,isin_not_found
A13PHF.ETR,,ETR,isin_not_found
A13PHG.ETR,,ETR,isin_not_found
A13PHH.ETR,,ETR,isin_not_found
A13PHJ.ETR,,ETR,isin_not_found
A13PHK.ETR,,ETR,isin_not_found
A13PHL.ETR,,ETR,isin_not_found
A13PHM.ETR,,ETR,isin_not_found
A13PHN.ETR,,ETR,isin_not_found
A13PHP.ETR,,ETR,isin_not_found
A13PHS.ETR,,ETR,isin_not_found
A13PHT.ETR,,ETR,isin_not_found
A13PHU.ETR,,ETR,isin_not_found
A13PHV.ETR,,ETR,isin_not_found
A14KEB.ETR,,ETR,isin_not_found
A14KR2.ETR,,ETR,isin_not_found
A14V41.ETR,,ETR,isin_not_found
A14XB9.ETR,,ETR,isin_not_found
A16123.ETR,,ETR,isin_not_found
A161NR.ETR,,ETR,isin_not_found
A16811.ETR,,ETR,isin_not_found
A1A4BJ.ETR,,ETR,isin_not_found
A1A4DP.ETR,,ETR,isin_not_found
A1A4E4.ETR,,ETR,isin_not_found
A1A4F7.ETR,,ETR,isin_not_found
A1A4F8.ETR,,ETR,isin_not_found
A1A4FV.ETR,,ETR,isin_not_found
A1A4FW.ETR,,ETR,no_isin
A1A4GR.ETR,,ETR,isin_not_found
A1A4J1.ETR,,ETR,isin_not_found
A1A4J2.ETR,,ETR,isin_not_found
A1A4J3.ETR,,ETR,isin_not_found
A1A4J4.ETR,,ETR,isin_not_found
A1A4J5.ETR,,ETR,isin_not_found
A1A4J6.ETR,,ETR,isin_not_found
A1A4J7.ETR,,ETR,isin_not_found
A1A4J8.ETR,,ETR,isin_not_found
A1A4J9.ETR,,ETR,isin_not_found
A1A4JE.ETR,,ETR,isin_not_found
A1A4JF.ETR,,ETR,isin_not_found
A1A4JH.ETR,,ETR,isin_not_found
A1A4JJ.ETR,,ETR,isin_not_found
A1A4JM.ETR,,ETR,isin_not_found
A1A4JN.ETR,,ETR,isin_not_found
A1A4JQ.ETR,,ETR,isin_not_found
A1A4JR.ETR,,ETR,isin_not_found
A1A4JX.ETR,,ETR,isin_not_found
A1A4JY.ETR,,ETR,isin_not_found
A1A4K2.ETR,,ETR,isin_not_found
A1A4KA.ETR,,ETR,isin_not_found
A1A4KC.ETR,,ETR,isin_not_found
A1A4KD.ETR,,ETR,isin_not_found
A1A4KE.ETR,,ETR,isin_not_found
A1A4KF.ETR,,ETR,isin_not_found
A1A4KG.ETR,,ETR,isin_not_found
A1A4KH.ETR,,ETR,isin_not_found
A1A4KJ.ETR,,ETR,isin_not_found
A1A4KK.ETR,,ETR,isin_not_found
A1A4KL.ETR,,ETR,isin_not_found
A1A4KM.ETR,,ETR,isin_not_found
A1A4KN.ETR,,ETR,isin_not_found
A1A4KP.ETR,,ETR,isin_not_found
A1A4KR.ETR,,ETR,isin_not_found
A1A4KS.ETR,,ETR,isin_not_found
A1A4KX.ETR,,ETR,isin_not_found
A1A4KY.ETR,,ETR,isin_not_found
A1A4KZ.ETR,,ETR,isin_not_found
A1A4LE.ETR,,ETR,isin_not_found
A1A4LG.ETR,,ETR,isin_not_found
A1A4M6.ETR,,ETR,isin_not_found
A1A4NH.ETR,,ETR,isin_not_found
A1C3R3.ETR,,ETR,isin_not_found
A1CX36.ETR,,ETR,isin_not_found
A1EX0A.ETR,,ETR,isin_not_found
A1EX0B.ETR,,ETR,isin_not_found
A1EX0C.ETR,,ETR,isin_not_found
A1EX0F.ETR,,ETR,isin_not_found
A1EX0G.ETR,,ETR,isin_not_found
A1EX10.ETR,,ETR,isin_not_found
A1EX11.ETR,,ETR,isin_not_found
A1EX12.ETR,,ETR,isin_not_found
A1EX15.ETR,,ETR,isin_not_found
A1EX1W.ETR,,ETR,isin_not_found
A1EX1X.ETR,,ETR,isin_not_found
A1EX1Y.ETR,,ETR,isin_not_found
A1EX1Z.ETR,,ETR,isin_not_found
A1EX2B.ETR,,ETR,isin_not_found
A1EXB1.ETR,,ETR,isin_not_found
A1EXB4.ETR,,ETR,isin_not_found
A1EXB5.ETR,,ETR,isin_not_found
A1EXB6.ETR,,ETR,isin_not_found
A1EXB7.ETR,,ETR,isin_not_found
A1EXCB.ETR,,ETR,isin_not_found
A1EXCG.ETR,,ETR,isin_not_found
A1EXCK.ETR,,ETR,isin_not_found
A1EXCM.ETR,,ETR,isin_not_found
A1EXCN.ETR,,ETR,isin_not_found
A1EXCQ.ETR,,ETR,isin_not_found
A1EXCR.ETR,,ETR,isin_not_found
A1EXET.ETR,,ETR,isin_not_found
A1EXEU.ETR,,ETR,isin_not_found
A1EXFX.ETR,,ETR,isin_not_found
A1EXH4.ETR,,ETR,isin_not_found
A1EXH5.ETR,,ETR,isin_not_found
A1EXJA.ETR,,ETR,isin_not_found
A1EXK5.ETR,,ETR,isin_not_found
A1EXK6.ETR,,ETR,isin_not_found
A1EXK7.ETR,,ETR,isin_not_found
A1EXL6.ETR,,ETR,isin_not_found
A1EXLC.ETR,,ETR,isin_not_found
A1EXLD.ETR,,ETR,isin_not_found
A1EXLF.ETR,,ETR,isin_not_found
A1EXNQ.ETR,,ETR,isin_not_found
A1EXNR.ETR,,ETR,isin_not_found
A1EXNS.ETR,,ETR,isin_not_found
A1EXQ1.ETR,,ETR,isin_not_found
A1EXQ6.ETR,,ETR,isin_not_found
A1EXQ8.ETR,,ETR,isin_not_found
A1EXQP.ETR,,ETR,isin_not_found
A1EXQU.ETR,,ETR,isin_not_found
A1EXQW.ETR,,ETR,isin_not_found
A1EXUE.ETR,,ETR,isin_not_found
A1EXUF.ETR,,ETR,isin_not_found
A1EXUG.ETR,,ETR,isin_not_found
A1EXUJ.ETR,,ETR,isin_not_found
A1EXUL.ETR,,ETR,isin_not_found
A1EXW5.ETR,,ETR,isin_not_found
A1EXW6.ETR,,ETR,isin_not_found
A1EXWH.ETR,,ETR,isin_not_found
A1EXZS.ETR,,ETR,isin_not_found
A1EXZV.ETR,,ETR,isin_not_found
A1EXZW.ETR,,ETR,isin_not_found
A1EXZX.ETR,,ETR,isin_not_found
A1JADL.ETR,,ETR,isin_not_found
A1JGT0.ETR,,ETR,isin_not_found
A1JMFQ.ETR,,ETR,isin_not_found
A1JPJY.ETR,,ETR,isin_not_found
A1JV4H.ETR,,ETR,isin_not_found
A1K037.ETR,,ETR,isin_not_found
A1W6XZ.ETR,,ETR,isin_not_found
A1W90H.ETR,,ETR,isin_not_found
A1W9NS.ETR,,ETR,isin_not_found
A1X214.ETR,,ETR,isin_not_found
A1X215.ETR,,ETR,isin_not_found
A1X225.ETR,,ETR,isin_not_found
A1X226.ETR,,ETR,isin_not_found
A1X227.ETR,,ETR,isin_not_found
A1X22A.ETR,,ETR,isin_not_found
A1X2V6.ETR,,ETR,isin_not_found
A1X2V7.ETR,,ETR,isin_not_found
A1X2VP.ETR,,ETR,isin_not_found
A1X2VQ.ETR,,ETR,isin_not_found
A1X2VR.ETR,,ETR,isin_not_found
A1X2VS.ETR,,ETR,isin_not_found
A1X2VU.ETR,,ETR,isin_not_found
A1X2W6.ETR,,ETR,isin_not_found
A1X2WD.ETR,,ETR,isin_not_found
A1X2WE.ETR,,ETR,isin_not_found
A1X2XH.ETR,,ETR,isin_not_found
A1X2XJ.ETR,,ETR,isin_not_found
A1X2XK.ETR,,ETR,isin_not_found
A1X2XP.ETR,,ETR,isin_not_found
A1X2XQ.ETR,,ETR,isin_not_found
A1X2YJ.ETR,,ETR,isin_not_found
A1X2YK.ETR,,ETR,isin_not_found
A1X2YL.ETR,,ETR,isin_not_found
A1X2YV.ETR,,ETR,isin_not_found
A1X3W0.ETR,,ETR,isin_not_found
A254W5.ETR,,ETR,isin_not_found
A255G3.ETR,,ETR,isin_not_found
A2AHZA.ETR,,ETR,isin_not_found
A2ASAC.ETR,,ETR,isin_not_found
A2ASF5.ETR,,ETR,isin_not_found
A2BPNB.ETR,,ETR,isin_not_found
A2DA41.ETR,,ETR,isin_not_found
A2DAN1.ETR,,ETR,isin_not_found
A2DME9.ETR,,ETR,isin_not_found
A2DPEL.ETR,,ETR,isin_not_found
A2DSYC.ETR,,ETR,isin_not_found
A2E370.ETR,,ETR,isin_not_found
A2E377.ETR,,ETR,isin_not_found
A2G8XP.ETR,,ETR,isin_not_found
A2G9LL.ETR,,ETR,isin_not_found
A2GS40.ETR,,ETR,isin_not_found
A2GS5M.ETR,,ETR,no_isin
A2GSVV.ETR,,ETR,isin_not_found
A2JHXV.ETR,,ETR,isin_not_found
A2JNWZ.ETR,,ETR,isin_not_found
A2JQSC.ETR,,ETR,isin_not_found
A2JR3A.ETR,,ETR,isin_not_found
A2LQ85.ETR,,ETR,isin_not_found
A2LQUA.ETR,,ETR,isin_not_found
A2N9WV.ETR,,ETR,isin_not_found
A2P0E9.ETR,,ETR,isin_not_found
A2P4A9.ETR,,ETR,isin_not_found
A2P4LJ.ETR,,ETR,isin_not_found
A2P71U.ETR,,ETR,isin_not_found
A2P739.ETR,,ETR,isin_not_found
A2PBVH.ETR,,ETR,isin_not_found
A2PBX0.ETR,,ETR,isin_not_found
A2PPTN.ETR,,ETR,isin_not_found
A2PUCU.ETR,,ETR,isin_not_found
A2PUZ3.ETR,,ETR,isin_not_found
A2QA6Q.ETR,,ETR,isin_not_found
A2QAZJ.ETR,,ETR,isin_not_found
A2QCEQ.ETR,,ETR,isin_not_found
A2QEFA.ETR,,ETR,isin_not_found
A2QN3E.ETR,,ETR,isin_not_found
A2QRHL.ETR,,ETR,isin_not_found
A2TSL7.ETR,,ETR,isin_not_found
A2TSQH.ETR,,ETR,isin_not_found
A2YN37.ETR,,ETR,isin_not_found
A2YN70.ETR,,ETR,isin_not_found
A3C4QG.ETR,,ETR,isin_not_found
A3CM9E.ETR,,ETR,isin_not_found
A3CMGM.ETR,,ETR,isin_not_found
A3CNK4.ETR,,ETR,isin_not_found
A3E5B5.ETR,,ETR,no_isin
A3E5C4.ETR,,ETR,isin_not_found
A3E5C5.ETR,,ETR,no_isin
A3E5CC.ETR,,ETR,isin_not_found
A3E5D0.ETR,,ETR,isin_not_found
A3E5DF.ETR,,ETR,no_isin
A3E5DK.ETR,,ETR,isin_not_found
A3E5DP.ETR,,ETR,isin_not_found
A3E5DT.ETR,,ETR,no_isin
A3E5E4.ETR,,ETR,isin_not_found
A3E5ES.ETR,,ETR,isin_not_found
A3E5ET.ETR,,ETR,isin_not_found
A3E5EU.ETR,,ETR,no_isin
A3H218.ETR,,ETR,isin_not_found
A3H222.ETR,,ETR,isin_not_found
A3H3LB.ETR,,ETR,isin_not_found
AAC.FR,,FR,isin_not_found
AACW.FR,,FR,isin_not_found
ABIO.FR,,FR,isin_not_found
ACCEL.NL,,NL,isin_not_found
ACNV.FR,,FR,isin_not_found
AKA.FR,,FR,isin_not_found
ALACT.FR,,FR,isin_not_found
ALADA.FR,,FR,isin_not_found
ALADM.FR,,FR,isin_not_found
ALADV.FR,,FR,isin_not_found
ALAMG.FR,,FR,isin_not_found
ALATF.FR,,FR,isin_not_found
ALCAR.FR,,FR,isin_not_found
ALCES.FR,,FR,isin_not_found
ALCG.FR,,FR,isin_not_found
ALCHI.FR,,FR,isin_not_found
ALCOR.FR,,FR,isin_not_found
ALDBY.FR,,FR,isin_not_found
ALDR.FR,,FR,isin_not_found
ALENE.FR,,FR,isin_not_found
ALENR.FR,,FR,isin_not_found
ALESK.FR,,FR,isin_not_found
ALFBA.FR,,FR,isin_not_found
ALFIL.FR,,FR,isin_not_found
ALGAU.FR,,FR,isin_not_found
ALGBE.FR,,FR,isin_not_found
ALHEO.FR,,FR,isin_not_found
ALHIO.FR,,FR,isin_not_found
ALICR.FR,,FR,isin_not_found
ALIDS.FR,,FR,isin_not_found
ALIVA.FR,,FR,isin_not_found
ALKER.FR,,FR,isin_not_found
ALLEC.FR,,FR,isin_not_found
ALM.FR,,FR,isin_not_found
ALMAK.FR,,FR,isin_not_found
ALMBG.FR,,FR,isin_not_found
ALMDP.FR,,FR,isin_not_found
ALMII.FR,,FR,isin_not_found
ALMIL.FR,,FR,isin_not_found
ALMND.FR,,FR,isin_not_found
ALOBR.FR,,FR,isin_not_found
ALONC.FR,,FR,isin_not_found
ALOSM.FR,,FR,isin_not_found
ALPAR.FR,,FR,isin_not_found
ALPCV.FR,,FR,isin_not_found
ALPHA.FR,,FR,isin_not_found
ALPHE.FR,,FR,isin_not_found
ALPHS.FR,,FR,isin_not_found
ALPIX.FR,,FR,isin_not_found
ALPLA.FR,,FR,isin_not_found
ALPRO.FR,,FR,isin_not_found
ALQP.FR,,FR,isin_not_found
ALSER.FR,,FR,isin_not_found
ALSIM.FR,,FR,isin_not_found
ALTAN.FR,,FR,isin_not_found
ALTBM.FR,,FR,isin_not_found
ALTER.FR,,FR,isin_not_found
ALTEV.FR,,FR,isin_not_found
ALTIV.FR,,FR,isin_not_found
ALTRO.FR,,FR,isin_not_found
ALTTI.FR,,FR,isin_not_found
ALTUR.FR,,FR,isin_not_found
ALTVO.FR,,FR,isin_not_found
ALUCR.FR,,FR,isin_not_found
ALUMS.FR,,FR,isin_not_found
ALVER.FR,,FR,isin_not_found
ALVET.FR,,FR,isin_not_found
