ID,SecType,Date,Time,Ask,Ask volume,Bid,Bid volume,Ask time,Day's high ask,Close,Currency,Day's high ask time,Day's high,ISIN,Auction price,Day's low ask,Day's low,Day's low ask time,Open,Nominal value,Last,Last volume,Trading time,Total volume,Mid price,Trading date,Profit,Current price,Related indices,Day high bid time, Day low bid time,Open Time, Last trade time, Close Time, Day high Time, Day low Time,Bid time,Auction Time
IAHYE.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IFXUS.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IHPAW.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
I3MSF.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IEPAD.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
MLDAM.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
CGG.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
VIV.FR,E,08-11-2021,01:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IEDEU.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
PX4GR.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IPABZ.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IAMD2.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
FRCSN.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
POM.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IFB1X.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ECC5D.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
I2NVD.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ISBIW.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ETE5G.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
EPMEG.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
CGM.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
AXEMB.FR,E,08-11-2021,05:14:13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDP.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
CBR.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ISPLR.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IRDSS.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
I1AAP.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ICRWE.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
MUSE.FR,E,08-11-2021,00:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
INMFE.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
VIVBS.FR,E,08-11-2021,09:08:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ERI5P.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
EWCSN.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
MLOSA.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
MLGAI.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
CBSM.FR,E,08-11-2021,02:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IUBUV.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
CFI.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
SII.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IAAP3.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
INCAS.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IAM3A.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IEVOE.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ISXLF.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
PABSA.FR,E,08-11-2021,00:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ICUIK.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ALBFR.FR,E,08-11-2021,02:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IGLDU.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
NHOA.FR,E,08-11-2021,09:33:40.006,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ZM3.FR,E,08-11-2021,00:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IGS2.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ORP.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
APM.FR,E,08-11-2021,00:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
MLCHE.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ILSIL.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ILQDH.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
TFI.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IGILI.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ALNEV.FR,E,08-11-2021,02:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
INC5S.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ITNOW.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IJNKE.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IMIVU.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IN50E.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IELOW.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ALPRE.FR,E,08-11-2021,10:42:58.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
WATNR.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
MLGRC.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ALESA.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
IC2MV.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ISGBS.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ALVAP.FR,E,08-11-2021,10:06:34.667,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ALRPD.FR,E,08-11-2021,15:07:05.328,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
I600X.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
INCJ1.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
INMSE.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ABEO.FR,E,08-11-2021,00:00:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
I1SE.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IMVEA.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
AXGOI.FR,E,08-11-2021,05:14:13.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INLTM.FR,I,08-11-2021,05:10:04.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
IGPAB.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
ALSPT.FR,E,08-11-2021,09:59:31.012,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
GLO.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ALHRS.FR,E,08-11-2021,17:26:26.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
MLDYN.FR,E,08-11-2021,05:14:00.000,0.000000,0,0.000000,0,,0.000000,0.000000,,,0.000000,,,0.000000,0.000000,,0.000000,,0.000000,0,00:00:00.000,0,,08-11-2021,,,,,,,00:00:00.000,00:00:00.000,,,,,
ENESG.FR,I,08-11-2021,00:00:00.000,,,,,,,0.000000,,,0.000000,,,,0.000000,,0.000000,,0.000000,,00:00:00.000,,,,,,,,,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,00:00:00.000,,,
