debs_symbol,yahoo_ticker,exchange,status
853265.ETR,853265.DE,ETR,isin_not_found
856244.ETR,856244.DE,ETR,isin_not_found
870450.ETR,870450.DE,ETR,isin_not_found
873131.ETR,873131.DE,ETR,isin_not_found
880135.ETR,880135.DE,ETR,isin_not_found
878613.ETR,878613.DE,ETR,isin_not_found
879100.ETR,879100.DE,ETR,isin_not_found
881646.ETR,881646.DE,ETR,isin_not_found
884304.ETR,884304.DE,ETR,isin_not_found
891466.ETR,891466.DE,ETR,no_data
901492.ETR,901492.DE,ETR,isin_not_found
898407.ETR,898407.DE,ETR,isin_not_found
903276.ETR,903276.DE,ETR,isin_not_found
902388.ETR,902388.DE,ETR,isin_not_found
923889.ETR,923889.DE,ETR,isin_not_found
928193.ETR,928193.DE,ETR,isin_not_found
940561.ETR,940561.DE,ETR,isin_not_found
A0B5Z8.ETR,A0B5Z8.DE,ETR,isin_not_found
A0B65S.ETR,A0B65S.DE,ETR,isin_not_found
A0B6VB.ETR,A0B6VB.DE,ETR,isin_not_found
A0B9VV.ETR,A0B9VV.DE,ETR,isin_not_found
A0D94M.ETR,A0D94M.DE,ETR,isin_not_found
A0ET46.ETR,A0ET46.DE,ETR,isin_not_found
A0ER6S.ETR,A0ER6S.DE,ETR,isin_not_found
A0EQ57.ETR,A0EQ57.DE,ETR,isin_not_found
A0F5CC.ETR,A0F5CC.DE,ETR,isin_not_found
A0F5UQ.ETR,A0F5UQ.DE,ETR,isin_not_found
A0HG6A.ETR,A0HG6A.DE,ETR,isin_not_found
A0G9JK.ETR,A0G9JK.DE,ETR,isin_not_found
A0HGWX.ETR,A0HGWX.DE,ETR,isin_not_found
A0JC0V.ETR,A0JC0V.DE,ETR,isin_not_found
A0JCY1.ETR,A0JCY1.DE,ETR,isin_not_found
A0JC8S.ETR,A0JC8S.DE,ETR,isin_not_found
A0JKWU.ETR,A0JKWU.DE,ETR,isin_not_found
A0JL2Y.ETR,A0JL2Y.DE,ETR,isin_not_found
A0JMQL.ETR,A0JMQL.DE,ETR,isin_not_found
A0JLZ7.ETR,A0JLZ7.DE,ETR,isin_not_found
A0JNE2.ETR,A0JNE2.DE,ETR,isin_not_found
A0KEXC.ETR,A0KEXC.DE,ETR,isin_not_found
A0KEQF.ETR,A0KEQF.DE,ETR,isin_not_found
A0KFKB.ETR,A0KFKB.DE,ETR,isin_not_found
A0L1NN.ETR,A0L1NN.DE,ETR,isin_not_found
A0KFRJ.ETR,A0KFRJ.DE,ETR,isin_not_found
A0KFUJ.ETR,A0KFUJ.DE,ETR,isin_not_found
A0LD2U.ETR,A0LD2U.DE,ETR,isin_not_found
A0LCTL.ETR,A0LCTL.DE,ETR,isin_not_found
A0LBCR.ETR,A0LBCR.DE,ETR,isin_not_found
A0LGD8.ETR,A0LGD8.DE,ETR,isin_not_found
A0M1W6.ETR,A0M1W6.DE,ETR,isin_not_found
A0M530.ETR,A0M530.DE,ETR,isin_not_found
A0MEK9.ETR,A0MEK9.DE,ETR,isin_not_found
A0M9BA.ETR,A0M9BA.DE,ETR,isin_not_found
A0MEKV.ETR,A0MEKV.DE,ETR,isin_not_found
A0MEKW.ETR,A0MEKW.DE,ETR,isin_not_found
A0MELK.ETR,A0MELK.DE,ETR,isin_not_found
A0MEP1.ETR,A0MEP1.DE,ETR,isin_not_found
A0MEKX.ETR,A0MEKX.DE,ETR,isin_not_found
A0MEP0.ETR,A0MEP0.DE,ETR,isin_not_found
A0MEKY.ETR,A0MEKY.DE,ETR,isin_not_found
A0MEKZ.ETR,A0MEKZ.DE,ETR,isin_not_found
A0MEP4.ETR,A0MEP4.DE,ETR,isin_not_found
A0MEP8.ETR,A0MEP8.DE,ETR,isin_not_found
A0MEP5.ETR,A0MEP5.DE,ETR,isin_not_found
A0MEP9.ETR,A0MEP9.DE,ETR,isin_not_found
A0MEP2.ETR,A0MEP2.DE,ETR,isin_not_found
A0MEP3.ETR,A0MEP3.DE,ETR,isin_not_found
A0MEP6.ETR,A0MEP6.DE,ETR,isin_not_found
A0MEPL.ETR,A0MEPL.DE,ETR,isin_not_found
A0MEPQ.ETR,A0MEPQ.DE,ETR,isin_not_found
A0MEPP.ETR,A0MEPP.DE,ETR,isin_not_found
A0MEPM.ETR,A0MEPM.DE,ETR,isin_not_found
A0MEPN.ETR,A0MEPN.DE,ETR,isin_not_found
A0MEPR.ETR,A0MEPR.DE,ETR,isin_not_found
A0MEPV.ETR,A0MEPV.DE,ETR,isin_not_found
A0MEPX.ETR,A0MEPX.DE,ETR,isin_not_found
A0MEPW.ETR,A0MEPW.DE,ETR,isin_not_found
A0MEPY.ETR,A0MEPY.DE,ETR,isin_not_found
A0MEPS.ETR,A0MEPS.DE,ETR,isin_not_found
A0MEPT.ETR,A0MEPT.DE,ETR,isin_not_found
A0MEPU.ETR,A0MEPU.DE,ETR,isin_not_found
A0MEQB.ETR,A0MEQB.DE,ETR,isin_not_found
A0MEQE.ETR,A0MEQE.DE,ETR,isin_not_found
A0MEQP.ETR,A0MEQP.DE,ETR,isin_not_found
A0MEQC.ETR,A0MEQC.DE,ETR,isin_not_found
A0MEQQ.ETR,A0MEQQ.DE,ETR,isin_not_found
A0MEQA.ETR,A0MEQA.DE,ETR,isin_not_found
A0MEPZ.ETR,A0MEPZ.DE,ETR,isin_not_found
A0MEQR.ETR,A0MEQR.DE,ETR,isin_not_found
A0MEX2.ETR,A0MEX2.DE,ETR,isin_not_found
A0MEX0.ETR,A0MEX0.DE,ETR,isin_not_found
A0MEQW.ETR,A0MEQW.DE,ETR,isin_not_found
A0MEX3.ETR,A0MEX3.DE,ETR,isin_not_found
A0MEX1.ETR,A0MEX1.DE,ETR,isin_not_found
A0MEQV.ETR,A0MEQV.DE,ETR,isin_not_found
A0MEQS.ETR,A0MEQS.DE,ETR,isin_not_found
A0MEX6.ETR,A0MEX6.DE,ETR,isin_not_found
A0MEX8.ETR,A0MEX8.DE,ETR,isin_not_found
A0MEX9.ETR,A0MEX9.DE,ETR,isin_not_found
A0MEX7.ETR,A0MEX7.DE,ETR,isin_not_found
A0MEXM.ETR,A0MEXM.DE,ETR,isin_not_found
A0MEX5.ETR,A0MEX5.DE,ETR,isin_not_found
A0MEX4.ETR,A0MEX4.DE,ETR,isin_not_found
A0MEXR.ETR,A0MEXR.DE,ETR,isin_not_found
A0MEXS.ETR,A0MEXS.DE,ETR,isin_not_found
A0MEXT.ETR,A0MEXT.DE,ETR,isin_not_found
A0MEXU.ETR,A0MEXU.DE,ETR,isin_not_found
A0MEXN.ETR,A0MEXN.DE,ETR,isin_not_found
A0MEXP.ETR,A0MEXP.DE,ETR,isin_not_found
A0MEXQ.ETR,A0MEXQ.DE,ETR,isin_not_found
A0MEXV.ETR,A0MEXV.DE,ETR,isin_not_found
A0MEYA.ETR,A0MEYA.DE,ETR,isin_not_found
A0MEXZ.ETR,A0MEXZ.DE,ETR,isin_not_found
A0MEYB.ETR,A0MEYB.DE,ETR,isin_not_found
A0MEXY.ETR,A0MEXY.DE,ETR,isin_not_found
A0MEXW.ETR,A0MEXW.DE,ETR,isin_not_found
A0MEXX.ETR,A0MEXX.DE,ETR,isin_not_found
A0MEYG.ETR,A0MEYG.DE,ETR,isin_not_found
A0MEYD.ETR,A0MEYD.DE,ETR,isin_not_found
A0MEYH.ETR,A0MEYH.DE,ETR,isin_not_found
A0MEYE.ETR,A0MEYE.DE,ETR,isin_not_found
A0MEYF.ETR,A0MEYF.DE,ETR,isin_not_found
A0MEYM.ETR,A0MEYM.DE,ETR,isin_not_found
A0MEYN.ETR,A0MEYN.DE,ETR,isin_not_found
A0MEYP.ETR,A0MEYP.DE,ETR,isin_not_found
A0MEYQ.ETR,A0MEYQ.DE,ETR,isin_not_found
A0MEYS.ETR,A0MEYS.DE,ETR,isin_not_found
A0MUES.ETR,A0MUES.DE,ETR,isin_not_found
A0NBN0.ETR,A0NBN0.DE,ETR,isin_not_found
A0MYC8.ETR,A0MYC8.DE,ETR,isin_not_found
A0Q90H.ETR,A0Q90H.DE,ETR,isin_not_found
A0Q4K4.ETR,A0Q4K4.DE,ETR,isin_not_found
A0QY6X.ETR,A0QY6X.DE,ETR,isin_not_found
A0Q90J.ETR,A0Q90J.DE,ETR,isin_not_found
A0Q90G.ETR,A0Q90G.DE,ETR,isin_not_found
A0QY70.ETR,A0QY70.DE,ETR,isin_not_found
A0QY7P.ETR,A0QY7P.DE,ETR,isin_not_found
A0QY7R.ETR,A0QY7R.DE,ETR,isin_not_found
A0QY71.ETR,A0QY71.DE,ETR,isin_not_found
A0QY7C.ETR,A0QY7C.DE,ETR,isin_not_found
A0QY7B.ETR,A0QY7B.DE,ETR,isin_not_found
A0QY7X.ETR,A0QY7X.DE,ETR,isin_not_found
A0QY7Y.ETR,A0QY7Y.DE,ETR,isin_not_found
A0QY9K.ETR,A0QY9K.DE,ETR,isin_not_found
A0QY7Z.ETR,A0QY7Z.DE,ETR,isin_not_found
A0S3K3.ETR,A0S3K3.DE,ETR,isin_not_found
A0S3K0.ETR,A0S3K0.DE,ETR,isin_not_found
A0S3K4.ETR,A0S3K4.DE,ETR,isin_not_found
A0S3K1.ETR,A0S3K1.DE,ETR,isin_not_found
A0S3K2.ETR,A0S3K2.DE,ETR,isin_not_found
A0S3K5.ETR,A0S3K5.DE,ETR,isin_not_found
A0S3K8.ETR,A0S3K8.DE,ETR,isin_not_found
A0S3K9.ETR,A0S3K9.DE,ETR,isin_not_found
A0S3K7.ETR,A0S3K7.DE,ETR,isin_not_found
A0S3KU.ETR,A0S3KU.DE,ETR,isin_not_found
A0S3KW.ETR,A0S3KW.DE,ETR,isin_not_found
A0S3LB.ETR,A0S3LB.DE,ETR,isin_not_found
A0S3LE.ETR,A0S3LE.DE,ETR,isin_not_found
A0S3KV.ETR,A0S3KV.DE,ETR,isin_not_found
A0S3KZ.ETR,A0S3KZ.DE,ETR,isin_not_found
A0S3KX.ETR,A0S3KX.DE,ETR,isin_not_found
A0S3LK.ETR,A0S3LK.DE,ETR,isin_not_found
A0S3LF.ETR,A0S3LF.DE,ETR,isin_not_found
A0S3K6.ETR,A0S3K6.DE,ETR,isin_not_found
A0S3LG.ETR,A0S3LG.DE,ETR,isin_not_found
A0S3MB.ETR,A0S3MB.DE,ETR,isin_not_found
A0S3MA.ETR,A0S3MA.DE,ETR,isin_not_found
A0S9R3.ETR,A0S9R3.DE,ETR,isin_not_found
A0S3MC.ETR,A0S3MC.DE,ETR,isin_not_found
A0S3MD.ETR,A0S3MD.DE,ETR,isin_not_found
A0S3ME.ETR,A0S3ME.DE,ETR,isin_not_found
A0SYTW.ETR,A0SYTW.DE,ETR,isin_not_found
A0SYTQ.ETR,A0SYTQ.DE,ETR,isin_not_found
A0V8CD.ETR,A0V8CD.DE,ETR,isin_not_found
A0V8DE.ETR,A0V8DE.DE,ETR,isin_not_found
A0TGJ5.ETR,A0TGJ5.DE,ETR,isin_not_found
A0V8CN.ETR,A0V8CN.DE,ETR,isin_not_found
A0SYTY.ETR,A0SYTY.DE,ETR,isin_not_found
A0V8CY.ETR,A0V8CY.DE,ETR,isin_not_found
A0V8D0.ETR,A0V8D0.DE,ETR,isin_not_found
A0V8CX.ETR,A0V8CX.DE,ETR,isin_not_found
A0V8DH.ETR,A0V8DH.DE,ETR,isin_not_found
A0V8DN.ETR,A0V8DN.DE,ETR,isin_not_found
A0V8DM.ETR,A0V8DM.DE,ETR,isin_not_found
A0V8DL.ETR,A0V8DL.DE,ETR,isin_not_found
A0V8DK.ETR,A0V8DK.DE,ETR,isin_not_found
A0V8DG.ETR,A0V8DG.DE,ETR,isin_not_found
A0V8DF.ETR,A0V8DF.DE,ETR,isin_not_found
A0V8DW.ETR,A0V8DW.DE,ETR,isin_not_found
A0V8DX.ETR,A0V8DX.DE,ETR,isin_not_found
A0V8DY.ETR,A0V8DY.DE,ETR,isin_not_found
A0V8DP.ETR,A0V8DP.DE,ETR,isin_not_found
A0V8DQ.ETR,A0V8DQ.DE,ETR,isin_not_found
A0V8DV.ETR,A0V8DV.DE,ETR,isin_not_found
A0V8DZ.ETR,A0V8DZ.DE,ETR,isin_not_found
A0V8F1.ETR,A0V8F1.DE,ETR,isin_not_found
A0V8FE.ETR,A0V8FE.DE,ETR,isin_not_found
A0V8FC.ETR,A0V8FC.DE,ETR,isin_not_found
A0V8FD.ETR,A0V8FD.DE,ETR,isin_not_found
A0V8FZ.ETR,A0V8FZ.DE,ETR,isin_not_found
A0V8FF.ETR,A0V8FF.DE,ETR,isin_not_found
A0V8FG.ETR,A0V8FG.DE,ETR,isin_not_found
A0V8G2.ETR,A0V8G2.DE,ETR,isin_not_found
A0V8FH.ETR,A0V8FH.DE,ETR,isin_not_found
A0V8FX.ETR,A0V8FX.DE,ETR,isin_not_found
A0V8FY.ETR,A0V8FY.DE,ETR,isin_not_found
A0V8G5.ETR,A0V8G5.DE,ETR,isin_not_found
A0V8GJ.ETR,A0V8GJ.DE,ETR,isin_not_found
A0V8GE.ETR,A0V8GE.DE,ETR,isin_not_found
A0V8GC.ETR,A0V8GC.DE,ETR,isin_not_found
A0V8G8.ETR,A0V8G8.DE,ETR,isin_not_found
A0V8GK.ETR,A0V8GK.DE,ETR,isin_not_found
A0V8GL.ETR,A0V8GL.DE,ETR,isin_not_found
A0V8J1.ETR,A0V8J1.DE,ETR,isin_not_found
A0V8GZ.ETR,A0V8GZ.DE,ETR,isin_not_found
A0V8J0.ETR,A0V8J0.DE,ETR,isin_not_found
A0V8HG.ETR,A0V8HG.DE,ETR,isin_not_found
A0V8J2.ETR,A0V8J2.DE,ETR,isin_not_found
A0V8J7.ETR,A0V8J7.DE,ETR,isin_not_found
A0V8J6.ETR,A0V8J6.DE,ETR,isin_not_found
A0V8J5.ETR,A0V8J5.DE,ETR,isin_not_found
A0V8J3.ETR,A0V8J3.DE,ETR,isin_not_found
A0V8J4.ETR,A0V8J4.DE,ETR,isin_not_found
A0V8J8.ETR,A0V8J8.DE,ETR,isin_not_found
A0V8JK.ETR,A0V8JK.DE,ETR,isin_not_found
A0V8J9.ETR,A0V8J9.DE,ETR,isin_not_found
A0V8JH.ETR,A0V8JH.DE,ETR,isin_not_found
A0V8JG.ETR,A0V8JG.DE,ETR,isin_not_found
A0V8JL.ETR,A0V8JL.DE,ETR,isin_not_found
A0V8JP.ETR,A0V8JP.DE,ETR,isin_not_found
A0V8JM.ETR,A0V8JM.DE,ETR,isin_not_found
A0V8JR.ETR,A0V8JR.DE,ETR,isin_not_found
A0V8JQ.ETR,A0V8JQ.DE,ETR,isin_not_found
A0V8JN.ETR,A0V8JN.DE,ETR,isin_not_found
A0V8JW.ETR,A0V8JW.DE,ETR,isin_not_found
A0V8JS.ETR,A0V8JS.DE,ETR,isin_not_found
A0V8JX.ETR,A0V8JX.DE,ETR,isin_not_found
A0V8JT.ETR,A0V8JT.DE,ETR,isin_not_found
A0V8JU.ETR,A0V8JU.DE,ETR,isin_not_found
A0V8JV.ETR,A0V8JV.DE,ETR,isin_not_found
A0V8JY.ETR,A0V8JY.DE,ETR,isin_not_found
A0V8JZ.ETR,A0V8JZ.DE,ETR,isin_not_found
A0V8KC.ETR,A0V8KC.DE,ETR,isin_not_found
A0V8KB.ETR,A0V8KB.DE,ETR,isin_not_found
A0V8KA.ETR,A0V8KA.DE,ETR,isin_not_found
A0V8KE.ETR,A0V8KE.DE,ETR,isin_not_found
A0V8KD.ETR,A0V8KD.DE,ETR,isin_not_found
A0V8KJ.ETR,A0V8KJ.DE,ETR,isin_not_found
A0V8KF.ETR,A0V8KF.DE,ETR,isin_not_found
A0V8KH.ETR,A0V8KH.DE,ETR,isin_not_found
A0V8KL.ETR,A0V8KL.DE,ETR,isin_not_found
A0V8KG.ETR,A0V8KG.DE,ETR,isin_not_found
A0V9L9.ETR,A0V9L9.DE,ETR,isin_not_found
A0V8KK.ETR,A0V8KK.DE,ETR,isin_not_found
A0V8KM.ETR,A0V8KM.DE,ETR,isin_not_found
A0V8KN.ETR,A0V8KN.DE,ETR,isin_not_found
A0X9LC.ETR,A0X9LC.DE,ETR,isin_not_found
A0XFWK.ETR,A0XFWK.DE,ETR,isin_not_found
A0Z25L.ETR,A0Z25L.DE,ETR,isin_not_found
A0Z26C.ETR,A0Z26C.DE,ETR,isin_not_found
A0Z268.ETR,A0Z268.DE,ETR,isin_not_found
A0Z3P0.ETR,A0Z3P0.DE,ETR,isin_not_found
A0Z3P2.ETR,A0Z3P2.DE,ETR,isin_not_found
A0Z3P1.ETR,A0Z3P1.DE,ETR,isin_not_found
A11133.ETR,A11133.DE,ETR,isin_not_found
A0Z3P3.ETR,A0Z3P3.DE,ETR,isin_not_found
A0Z3P4.ETR,A0Z3P4.DE,ETR,isin_not_found
A0Z3PZ.ETR,A0Z3PZ.DE,ETR,isin_not_found
A117XM.ETR,A117XM.DE,ETR,isin_not_found
A118Z8.ETR,A118Z8.DE,ETR,isin_not_found
A12HJF.ETR,A12HJF.DE,ETR,isin_not_found
A12ULL.ETR,A12ULL.DE,ETR,isin_not_found
A13N90.ETR,A13N90.DE,ETR,isin_not_found
A13N94.ETR,A13N94.DE,ETR,isin_not_found
A13PAJ.ETR,A13PAJ.DE,ETR,isin_not_found
A13N92.ETR,A13N92.DE,ETR,isin_not_found
A13PAX.ETR,A13PAX.DE,ETR,isin_not_found
A13N9X.ETR,A13N9X.DE,ETR,isin_not_found
A13N9Y.ETR,A13N9Y.DE,ETR,isin_not_found
A13PA0.ETR,A13PA0.DE,ETR,isin_not_found
A13PAY.ETR,A13PAY.DE,ETR,isin_not_found
A13PH4.ETR,A13PH4.DE,ETR,isin_not_found
A13PH5.ETR,A13PH5.DE,ETR,isin_not_found
A13PH6.ETR,A13PH6.DE,ETR,isin_not_found
A13PHF.ETR,A13PHF.DE,ETR,isin_not_found
A13PAZ.ETR,A13PAZ.DE,ETR,isin_not_found
A13PGG.ETR,A13PGG.DE,ETR,isin_not_found
A13PHK.ETR,A13PHK.DE,ETR,isin_not_found
A13PHN.ETR,A13PHN.DE,ETR,isin_not_found
A13PHM.ETR,A13PHM.DE,ETR,isin_not_found
A13PHL.ETR,A13PHL.DE,ETR,isin_not_found
A13PHH.ETR,A13PHH.DE,ETR,isin_not_found
A13PHJ.ETR,A13PHJ.DE,ETR,isin_not_found
A13PHU.ETR,A13PHU.DE,ETR,isin_not_found
A13PHP.ETR,A13PHP.DE,ETR,isin_not_found
A13PHS.ETR,A13PHS.DE,ETR,isin_not_found
A13PHV.ETR,A13PHV.DE,ETR,isin_not_found
A13PHT.ETR,A13PHT.DE,ETR,isin_not_found
A13PHG.ETR,A13PHG.DE,ETR,isin_not_found
A14KEB.ETR,A14KEB.DE,ETR,isin_not_found
A14KR2.ETR,A14KR2.DE,ETR,isin_not_found
A14XB9.ETR,A14XB9.DE,ETR,isin_not_found
A14V41.ETR,A14V41.DE,ETR,isin_not_found
A16123.ETR,A16123.DE,ETR,isin_not_found
A16811.ETR,A16811.DE,ETR,isin_not_found
A161NR.ETR,A161NR.DE,ETR,isin_not_found
A1A4BJ.ETR,A1A4BJ.DE,ETR,isin_not_found
A1A4F7.ETR,A1A4F7.DE,ETR,isin_not_found
A1A4DP.ETR,A1A4DP.DE,ETR,isin_not_found
A1A4E4.ETR,A1A4E4.DE,ETR,isin_not_found
A1A4FV.ETR,A1A4FV.DE,ETR,isin_not_found
A1A4F8.ETR,A1A4F8.DE,ETR,isin_not_found
A1A4J1.ETR,A1A4J1.DE,ETR,isin_not_found
A1A4J2.ETR,A1A4J2.DE,ETR,isin_not_found
A1A4FW.ETR,A1A4FW.DE,ETR,no_data
A1A4GR.ETR,A1A4GR.DE,ETR,isin_not_found
A1A4J3.ETR,A1A4J3.DE,ETR,isin_not_found
A1A4J4.ETR,A1A4J4.DE,ETR,isin_not_found
A1A4J9.ETR,A1A4J9.DE,ETR,isin_not_found
A1A4J5.ETR,A1A4J5.DE,ETR,isin_not_found
A1A4J8.ETR,A1A4J8.DE,ETR,isin_not_found
A1A4JE.ETR,A1A4JE.DE,ETR,isin_not_found
A1A4J6.ETR,A1A4J6.DE,ETR,isin_not_found
A1A4J7.ETR,A1A4J7.DE,ETR,isin_not_found
A1A4JJ.ETR,A1A4JJ.DE,ETR,isin_not_found
A1A4JM.ETR,A1A4JM.DE,ETR,isin_not_found
A1A4JF.ETR,A1A4JF.DE,ETR,isin_not_found
A1A4JH.ETR,A1A4JH.DE,ETR,isin_not_found
A1A4JN.ETR,A1A4JN.DE,ETR,isin_not_found
A1A4JX.ETR,A1A4JX.DE,ETR,isin_not_found
A1A4K2.ETR,A1A4K2.DE,ETR,isin_not_found
A1A4KA.ETR,A1A4KA.DE,ETR,isin_not_found
A1A4JR.ETR,A1A4JR.DE,ETR,isin_not_found
A1A4JQ.ETR,A1A4JQ.DE,ETR,isin_not_found
A1A4KC.ETR,A1A4KC.DE,ETR,isin_not_found
A1A4JY.ETR,A1A4JY.DE,ETR,isin_not_found
A1A4KF.ETR,A1A4KF.DE,ETR,isin_not_found
A1A4KE.ETR,A1A4KE.DE,ETR,isin_not_found
A1A4KD.ETR,A1A4KD.DE,ETR,isin_not_found
A1A4KJ.ETR,A1A4KJ.DE,ETR,isin_not_found
A1A4KG.ETR,A1A4KG.DE,ETR,isin_not_found
A1A4KM.ETR,A1A4KM.DE,ETR,isin_not_found
A1A4KH.ETR,A1A4KH.DE,ETR,isin_not_found
A1A4KL.ETR,A1A4KL.DE,ETR,isin_not_found
A1A4KK.ETR,A1A4KK.DE,ETR,isin_not_found
A1A4KN.ETR,A1A4KN.DE,ETR,isin_not_found
A1A4KP.ETR,A1A4KP.DE,ETR,isin_not_found
A1A4KX.ETR,A1A4KX.DE,ETR,isin_not_found
A1A4KY.ETR,A1A4KY.DE,ETR,isin_not_found
A1A4KR.ETR,A1A4KR.DE,ETR,isin_not_found
A1A4KS.ETR,A1A4KS.DE,ETR,isin_not_found
A1A4KZ.ETR,A1A4KZ.DE,ETR,isin_not_found
A1A4LE.ETR,A1A4LE.DE,ETR,isin_not_found
A1A4M6.ETR,A1A4M6.DE,ETR,isin_not_found
A1A4NH.ETR,A1A4NH.DE,ETR,isin_not_found
A1A4LG.ETR,A1A4LG.DE,ETR,isin_not_found
A1C3R3.ETR,A1C3R3.DE,ETR,isin_not_found
A1CX36.ETR,A1CX36.DE,ETR,isin_not_found
A1EX0A.ETR,A1EX0A.DE,ETR,isin_not_found
A1EX0B.ETR,A1EX0B.DE,ETR,isin_not_found
A1EX0C.ETR,A1EX0C.DE,ETR,isin_not_found
A1EX0F.ETR,A1EX0F.DE,ETR,isin_not_found
A1EX0G.ETR,A1EX0G.DE,ETR,isin_not_found
A1EX10.ETR,A1EX10.DE,ETR,isin_not_found
A1EX11.ETR,A1EX11.DE,ETR,isin_not_found
A1EX12.ETR,A1EX12.DE,ETR,isin_not_found
A1EX15.ETR,A1EX15.DE,ETR,isin_not_found
A1EX1W.ETR,A1EX1W.DE,ETR,isin_not_found
A1EX1X.ETR,A1EX1X.DE,ETR,isin_not_found
A1EX1Y.ETR,A1EX1Y.DE,ETR,isin_not_found
A1EX1Z.ETR,A1EX1Z.DE,ETR,isin_not_found
A1EXB4.ETR,A1EXB4.DE,ETR,isin_not_found
A1EXB5.ETR,A1EXB5.DE,ETR,isin_not_found
A1EX2B.ETR,A1EX2B.DE,ETR,isin_not_found
A1EXB1.ETR,A1EXB1.DE,ETR,isin_not_found
A1EXCG.ETR,A1EXCG.DE,ETR,isin_not_found
A1EXCM.ETR,A1EXCM.DE,ETR,isin_not_found
A1EXCN.ETR,A1EXCN.DE,ETR,isin_not_found
A1EXCK.ETR,A1EXCK.DE,ETR,isin_not_found
A1EXB6.ETR,A1EXB6.DE,ETR,isin_not_found
A1EXCB.ETR,A1EXCB.DE,ETR,isin_not_found
A1EXB7.ETR,A1EXB7.DE,ETR,isin_not_found
A1EXEU.ETR,A1EXEU.DE,ETR,isin_not_found
A1EXCQ.ETR,A1EXCQ.DE,ETR,isin_not_found
A1EXET.ETR,A1EXET.DE,ETR,isin_not_found
A1EXCR.ETR,A1EXCR.DE,ETR,isin_not_found
A1EXH5.ETR,A1EXH5.DE,ETR,isin_not_found
A1EXH4.ETR,A1EXH4.DE,ETR,isin_not_found
A1EXL6.ETR,A1EXL6.DE,ETR,isin_not_found
A1EXJA.ETR,A1EXJA.DE,ETR,isin_not_found
A1EXFX.ETR,A1EXFX.DE,ETR,isin_not_found
A1EXK5.ETR,A1EXK5.DE,ETR,isin_not_found
A1EXLF.ETR,A1EXLF.DE,ETR,isin_not_found
A1EXK6.ETR,A1EXK6.DE,ETR,isin_not_found
A1EXNR.ETR,A1EXNR.DE,ETR,isin_not_found
A1EXNQ.ETR,A1EXNQ.DE,ETR,isin_not_found
A1EXLD.ETR,A1EXLD.DE,ETR,isin_not_found
A1EXLC.ETR,A1EXLC.DE,ETR,isin_not_found
A1EXK7.ETR,A1EXK7.DE,ETR,isin_not_found
A1EXQ1.ETR,A1EXQ1.DE,ETR,isin_not_found
A1EXQ8.ETR,A1EXQ8.DE,ETR,isin_not_found
A1EXQW.ETR,A1EXQW.DE,ETR,isin_not_found
A1EXQU.ETR,A1EXQU.DE,ETR,isin_not_found
A1EXNS.ETR,A1EXNS.DE,ETR,isin_not_found
A1EXQP.ETR,A1EXQP.DE,ETR,isin_not_found
A1EXQ6.ETR,A1EXQ6.DE,ETR,isin_not_found
A1EXUG.ETR,A1EXUG.DE,ETR,isin_not_found
